Company,Website,Phone,Email,Street,Postal code,City,Notes from client
Hollywok,hollywok.be,056 20 55 88,,President Kennedylaan 100,8500,Kortrijk,"met at trade fair, asked for a quote"
Vesper,,,info@vesperkortrijk.be,Voorstraat 34,8500,Kortrijk,
Basta!,www.bastakortrijk.be,+32 56 49 37 49,,Havermarkt 3,8500,Kortrijk,
Bowls Asian Cuisine,https://www.bowls-kortrijk.be/,056/19.81.99,eat@bowls-kortrijk.be,Dolfijnkaai 12,8500,Kortrijk,
Dionysos,,,,Doornikselaan 4,8500,Kortrijk,"no website known - please research"
Blauwe Hoeve,,,,Doorniksesteenweg 15,8500,Kortrijk,
Frituur Natuur,frituurnatuur.be,,info@frituurnatuur.be,,8510,Marke,"VAT BE0629.985.405 on their receipt"
Hollywok Kortrijk,https://hollywok.be/,+32 56 20 55 88,info@hollywok.be,President Kennedylaan 100,8500,Kortrijk,"entered twice by intern"
Viva Sara Kaffee,vivasara.be,056 21 72 70,info@vivasarakaffee.com,Grote Markt 33,8500,Kortrijk,
Restaurant Doesnotexist,www.this-domain-does-not-exist-9f8e7d.be,+32 56 00 00 00,hello@this-domain-does-not-exist-9f8e7d.be,Nowhere 1,ABCD,Kortrijk,"test row: expected to be flagged"
