Record ID,Company name,Legal entity name,Category,Subcategory,Street,No.,Postcode,City,District,Country,Phone,E-mail,Website,LinkedIn,Facebook,Instagram,VAT number,Opening hours,Description,Latitude,Longitude,Verification status,Review flags,Completeness %,Company name check,Website check,E-mail check,Phone check,VAT number check,Source,Source URL,Duplicate group,Extracted at (UTC),Reviewer decision,Reviewer notes
KOR-0001,Alvaro,,cafe,coffee shop,Zeger van Heulestraat,64,8501,Kortrijk,Heule,BE,+32 479 72 07 15,,,,,,,,,50.844601,3.23998,UNVERIFIED,,60.9,unverified,missing,missing,unverified - mobile number (BE),missing,osm,https://www.openstreetmap.org/way/276532204,,2026-09-08T09:30:49+00:00,,
KOR-0003,B'Hoven,,restaurant,"fondue, grill",,,,Kortrijk,,BE,,,https://www.fonduehuisbeethoven.be/,,,,,,,50.829312,3.266904,UNVERIFIED,,43.5,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/4598117448,,2026-09-08T09:30:49+00:00,,
KOR-0004,Basta!,,restaurant,mediterranean,Havermarkt,3,8500,Kortrijk,,BE,+32 56 49 37 49,info@bastakortrijk.be,https://www.bastakortrijk.be/,,https://www.facebook.com/bastakortrijk,https://www.instagram.com/bastakortrijk,,"Mo 11:30-14:00; Tu-Th 11:30-14:00,18:00-21:00; Fr 11:30-14:00,18:00-22:00; Sa off; Su 18:00-21:00",,50.825947,3.264579,UNVERIFIED,,78.3,unverified,unverified,unverified,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/9977230081,,2026-09-08T09:30:49+00:00,,
KOR-0005,Bavet,,restaurant,pasta,Stationsstraat,1,8500,Kortrijk,,BE,,,https://bavet.eu/,,,,,"Mo-Su 11:30-14:00,17:30-21:30",,50.826014,3.264402,UNVERIFIED,,60.9,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/2185620651,,2026-09-08T09:30:49+00:00,,
KOR-0006,Bellegems Friethuisje,,restaurant,friture,Doornikserijksweg,134,8510,Kortrijk,Bellegem,BE,+32 56 22 99 95,belfriet@gmail.com,https://bellegemsfriethuisje.be/,,https://www.facebook.com/Bellegems-Friethuisje-135629569911957,,,"Mo-Th 11:00-14:30,17:00-22:00; Fr 11:00-14:30,17:00-23:00; Sa 11:00-23:00; Su 11:00-22:00",,50.777608,3.304025,UNVERIFIED,,78.3,unverified,unverified,unverified,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/way/966031881,,2026-09-08T09:30:49+00:00,,
KOR-0007,beudaert,,restaurant,,Sint-Maartenskerkhof,8,8500,Kortrijk,,BE,,,https://www.beudaert.be/,,,,,,,50.827933,3.268166,UNVERIFIED,,52.2,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/4634140692,,2026-09-08T09:30:49+00:00,,
KOR-0009,Bistro Au Casino,,restaurant,,Doorniksewijk,31,,Kortrijk,,BE,+32 56 22 84 99,bistroaucasino@gmail.com,,,,,,,,50.82201,3.268851,UNVERIFIED,,52.2,unverified,missing,unverified,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/11854695616,,2026-09-08T09:30:49+00:00,,
KOR-0012,Blauwe Hoeve,,restaurant,,Doorniksesteenweg,15,8500,Kortrijk,,BE,,,,,,,,,,50.81668,3.271593,UNVERIFIED,,47.8,unverified,missing,missing,missing,missing,osm,https://www.openstreetmap.org/way/562503124,,2026-09-08T09:30:49+00:00,,
KOR-0013,Bocca,,restaurant,pasta,Leiestraat,2,8500,Kortrijk,,BE,+32 56 52 02 70,,http://www.bocca.be/locations/kortrijk.html,,,,,,,50.828162,3.265315,UNVERIFIED,,60.9,unverified,unverified,missing,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/3855298771,,2026-09-08T09:30:49+00:00,,
KOR-0014,Bowls Asian Cuisine,,restaurant,asian,Dolfijnkaai,12,8500,Kortrijk,,BE,+32 56 19 81 99,eat@bowls-kortrijk.be,https://www.bowls-kortrijk.be/,,,,,"Mo-Tu,Fr 11:30-14:00,18:00-22:00; Sa 18:00-22:00; Su 11:30-14:00,18:00-21:00",,50.829304,3.263221,UNVERIFIED,,69.6,unverified,unverified,unverified,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/8326315864,,2026-09-08T09:30:49+00:00,,
KOR-0015,Café Leffe,,restaurant,,Grote Markt,3,8500,Kortrijk,,BE,,,https://www.cafe-leffe-kortrijk.be/,,,,,,,50.828004,3.265751,UNVERIFIED,,52.2,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/3855377534,,2026-09-08T09:30:49+00:00,,
KOR-0016,Chapeluur,,restaurant,,Grote Markt,1,8500,Kortrijk,,BE,,,https://chapeluur.eu/,,,,,,,50.82809,3.265653,UNVERIFIED,,52.2,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/3855371092,,2026-09-08T09:30:49+00:00,,
KOR-0017,Chez Fergan,,restaurant,,Brugsesteenweg,21,,Kortrijk,,BE,+32 485 57 52 76,info@chezfergan.be,https://chezfergan.be/,,https://www.facebook.com/profile.php?id=61563090756801,,,We-Su 18:00-24:00,,50.835981,3.261995,UNVERIFIED,,65.2,unverified,unverified,unverified,unverified - mobile number (BE),missing,osm,https://www.openstreetmap.org/node/12311551834,,2026-09-08T09:30:49+00:00,,
KOR-0018,d'Oude Burcht,,restaurant,,,,,Kortrijk,,BE,,info@oudeburcht.be,https://www.oudeburcht.be/,,,,,,,50.829277,3.26678,UNVERIFIED,,43.5,unverified,unverified,unverified,missing,missing,osm,https://www.openstreetmap.org/node/4598133877,,2026-09-08T09:30:49+00:00,,
KOR-0019,De Garage,,restaurant,,Aalbeeksesteenweg,64,8500,Kortrijk,,BE,+32 465 02 05 01,fitz@degaragekortrijk.be,https://www.degaragekortrijk.be/,,,https://www.instagram.com/degaragekortrijk,,"Mo-Fr 12:00-14:00,18:30-22:30; We 18:30-22:30",,50.821176,3.258073,UNVERIFIED,,69.6,unverified,unverified,unverified,unverified - mobile number (BE),missing,osm,https://www.openstreetmap.org/node/10686651253,,2026-09-08T09:30:49+00:00,,
KOR-0020,De pomp,,restaurant,,,,,Kortrijk,,BE,,,,,,,,,,50.759005,3.247987,UNVERIFIED,,34.8,unverified,missing,missing,missing,missing,osm,https://www.openstreetmap.org/node/779033004,,2026-09-08T09:30:49+00:00,,
KOR-0021,De Smesse,,cafe,,,,,Kortrijk,,BE,,,,,,,,,,50.777445,3.232378,UNVERIFIED,,34.8,unverified,missing,missing,missing,missing,osm,https://www.openstreetmap.org/node/1083293580,,2026-09-08T09:30:49+00:00,,
KOR-0022,deDingen,,cafe,,Budastraat,12,8500,Kortrijk,,BE,,,https://dedingen.be/,,,,,,,50.830146,3.264048,UNVERIFIED,,52.2,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/2065691962,,2026-09-08T09:30:49+00:00,,
KOR-0023,Den Expo,,cafe,,,,,Kortrijk,,BE,,,,,,,,,,50.808333,3.279413,UNVERIFIED,,34.8,unverified,missing,missing,missing,missing,osm,https://www.openstreetmap.org/node/703600346,,2026-09-08T09:30:49+00:00,,
KOR-0024,Dionysos,,restaurant,greek,Doornikselaan,4,8500,Kortrijk,,BE,,,,,,,,,,50.825023,3.265997,UNVERIFIED,,52.2,unverified,missing,missing,missing,missing,osm,https://www.openstreetmap.org/way/391267222,,2026-09-08T09:30:49+00:00,,
KOR-0025,Dynasty Ocho,,restaurant,chinese,Pottelberg,136,8510,Kortrijk,Marke,BE,+32 56 21 68 88,,https://www.dynastyocho.be/,,,,,Th-Tu 12:00-00:00,,50.810407,3.248972,UNVERIFIED,,69.6,unverified,unverified,missing,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/4485631691,,2026-09-08T09:30:49+00:00,,
KOR-0026,Eetcafé Nostalgie,,restaurant,,Veemarkt,26,8500,Kortrijk,,BE,,,https://eetcafenostalgie.be/,,,,,,,50.82629,3.273309,UNVERIFIED,,52.2,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/4853104325,,2026-09-08T09:30:49+00:00,,
KOR-0027,Frituur Natuur,,restaurant,friture,,,,Kortrijk,,BE,,info@frituurnatuur.be,https://www.frituurnatuur.be/,,,,BE0629985405,,,50.804802,3.237818,UNVERIFIED,,52.2,unverified,unverified,unverified,missing,unverified,osm,https://www.openstreetmap.org/way/408034848,,2026-09-08T09:30:49+00:00,,
KOR-0028,Goed Ten Houte,,restaurant,,Ten Houtedreef,31,8500,Kortrijk,,BE,,,https://www.goedtenhoute.be/,,,,,,,50.795362,3.292006,UNVERIFIED,,52.2,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/relation/17071436,,2026-09-08T09:30:49+00:00,,
KOR-0029,Gursha,,restaurant,,Overbekeplein,11,,Kortrijk,,BE,+32 484 21 16 50,gursha.kortrijk@gmail.com,https://gurshakortrijk.com/,,https://www.facebook.com/profile.php?id=61582449869308,,,"Th,Fr 11:30-14:00,17:30-21:00; Sa 14:00-21:00",,50.827513,3.269246,UNVERIFIED,,65.2,unverified,unverified,unverified,unverified - mobile number (BE),missing,osm,https://www.openstreetmap.org/node/13285101515,,2026-09-08T09:30:49+00:00,,
KOR-0030,Hollywok,,restaurant,asian,President Kennedylaan,100,8500,Kortrijk,,BE,+32 56 20 55 88,info@hollywok.be,https://hollywok.be/,,,,,,,50.805208,3.275526,UNVERIFIED,,65.2,unverified,unverified,unverified,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/703602654,,2026-09-08T09:30:49+00:00,,
KOR-0031,IzyCoffee,,cafe,coffee shop,Korte Steenstraat,15,8500,Kortrijk,,BE,,,https://izycoffee.be/,,,,,Mo-Su 08:00-20:00,,50.827061,3.267766,UNVERIFIED,,60.9,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/way/561288931,,2026-09-08T09:30:49+00:00,,
KOR-0034,KVK Jeugdacademie,,cafe,,,,,Kortrijk,,BE,,,,,,,,,,50.836885,3.255895,UNVERIFIED,,34.8,unverified,missing,missing,missing,missing,osm,https://www.openstreetmap.org/way/276194080,,2026-09-08T09:30:49+00:00,,
KOR-0035,Le Cou Cou,,restaurant,french,Roodhuisweg,10,8510,Kortrijk,Bellegem,BE,+32 56 49 61 57,enjoy@lecoucou.be,https://www.lecoucou.be/,,,,,,,50.777897,3.283105,UNVERIFIED,,69.6,unverified,unverified,unverified,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/7734520885,,2026-09-08T09:30:49+00:00,,
KOR-0036,Nagomi Sushi,,restaurant,japanese,Grote Markt,39,8500,Kortrijk,,BE,+32 56 21 26 68,,https://www.nagomisushi.be/,,https://www.facebook.com/nagomisushi,,,,,50.82726,3.26548,UNVERIFIED,,65.2,unverified,unverified,missing,unverified - fixed number (BE),missing,osm,https://www.openstreetmap.org/node/3841577021,,2026-09-08T09:30:49+00:00,,
KOR-0037,Nata,,restaurant,,,,,Kortrijk,,BE,,,https://www.natakortrijk.be/,,,,,,,50.827916,3.265914,UNVERIFIED,,39.1,unverified,unverified,missing,missing,missing,osm,https://www.openstreetmap.org/node/1345512685,,2026-09-08T09:30:49+00:00,,
